Feeder Name,Month,Monthly Mean CPQI (%)
GACHA 1 F3,Jan,86.45
GACHA 1 F3,Feb,85.49
GACHA 1 F3,Mar,86.67
GACHA 1 F3,Apr,79.98
GACHA 1 F3,May,77.35
GACHA 1 F3,Jun,77.35
GACHA 1 F3,Jul,80.07
GACHA 1 F3,Aug,86.85
GACHA 1 F3,Sep,85.0
GACHA 1 F3,Oct,86.51
GACHA 1 F3,Nov,85.0
GACHA 1 F3,Dec,85.0
GACHA 1 F4,Jan,54.01
GACHA 1 F4,Feb,50.78
GACHA 1 F4,Mar,51.06
GACHA 1 F4,Apr,44.81
GACHA 1 F4,May,44.13
GACHA 1 F4,Jun,46.12
GACHA 1 F4,Jul,44.29
GACHA 1 F4,Aug,51.53
GACHA 1 F4,Sep,55.85
GACHA 1 F4,Oct,53.31
GACHA 1 F4,Nov,53.75
GACHA 1 F4,Dec,51.51
SREEPUR 1 F5,Jan,89.08
SREEPUR 1 F5,Feb,90.07
SREEPUR 1 F5,Mar,88.17
SREEPUR 1 F5,Apr,82.46
SREEPUR 1 F5,May,81.0
SREEPUR 1 F5,Jun,81.46
SREEPUR 1 F5,Jul,81.0
SREEPUR 1 F5,Aug,92.68
SREEPUR 1 F5,Sep,89.88
SREEPUR 1 F5,Oct,88.31
SREEPUR 1 F5,Nov,91.13
SREEPUR 1 F5,Dec,88.07
JOYDEBPUR 7 F5,Jan,73.41
JOYDEBPUR 7 F5,Feb,70.16
JOYDEBPUR 7 F5,Mar,71.11
JOYDEBPUR 7 F5,Apr,65.4
JOYDEBPUR 7 F5,May,66.21
JOYDEBPUR 7 F5,Jun,65.36
JOYDEBPUR 7 F5,Jul,64.93
JOYDEBPUR 7 F5,Aug,72.65
JOYDEBPUR 7 F5,Sep,70.88
JOYDEBPUR 7 F5,Oct,72.02
JOYDEBPUR 7 F5,Nov,72.41
JOYDEBPUR 7 F5,Dec,74.69
SREEPUR 7 F1,Jan,50.92
SREEPUR 7 F1,Feb,47.76
SREEPUR 7 F1,Mar,50.89
SREEPUR 7 F1,Apr,41.82
SREEPUR 7 F1,May,41.38
SREEPUR 7 F1,Jun,43.32
SREEPUR 7 F1,Jul,43.95
SREEPUR 7 F1,Aug,51.8
SREEPUR 7 F1,Sep,49.14
SREEPUR 7 F1,Oct,49.94
SREEPUR 7 F1,Nov,50.9
SREEPUR 7 F1,Dec,51.86
SREEPUR 8 F2,Jan,81.88
SREEPUR 8 F2,Feb,82.32
SREEPUR 8 F2,Mar,80.94
SREEPUR 8 F2,Apr,72.81
SREEPUR 8 F2,May,75.82
SREEPUR 8 F2,Jun,76.63
SREEPUR 8 F2,Jul,74.49
SREEPUR 8 F2,Aug,84.11
SREEPUR 8 F2,Sep,83.14
SREEPUR 8 F2,Oct,81.63
SREEPUR 8 F2,Nov,83.14
SREEPUR 8 F2,Dec,84.91
